English,Punjabi,English_Word_Count,Punjabi_Word_Count
amalgamated,ਮਿਸ਼ਰਤ,12,34
ambidextrous,ਦੋਗਲਾ,2,13
american,ਅਮੈਰੀਕਨ,4624,200
amiable,ਮਿਲਾਪੜਾ,30,24
amorphous,ਅਰੂਪ,4,47
ample,ਕਾਫੀ,828,22971
amusing,ਕਮੇਡੀ,194,35
anarchic,ਅਰਾਜਕ,4,12
ancestral,ਖਾਨਦਾਨੀ,114,19
ane,1,4,10032
angular,ਖੂੰਜੇ,29,23
annoyed,ਵਿਆਕੁਲ,285,37
annual,ਸਲਾਨਾ,1135,266
anterior,ਸਾਹਮਣਾ,13,8435
anticipatory,ਆਸਵੰਦ,138,82
antisocial,ਅਸਮਾਜਿਕ,13,17
anxious,ਉਤਾਵਲਾ,582,29
appalled,ਸੁੰਨ,48,199
apparent,ਪ੍ਰਤੱਖ,293,284
applaudable,ਸਲਾਹੁਣਯੋਗ,3,55
applicable,ਲਾਗੂ,941,10763
appreciated,ਸਬਰ,4085,1449
appreciative,ਗੁਣਵਾਨ,83,21
apprehensive,ਫਿਕਰਮੰਦ,106,146
approaching,ਆਗਾਮੀ,316,562
approved,ਸਹਿਮਤੀ,1691,2920
approximate,ਜਾਨਣਾ,223,322
apt,ਸਿਆਣਾ,66,333
aquatic,ਜਲੀ,49,11
arabian,ਤਾਜ਼ੀ,119,44
arabic,ਅਰਬੀ,302,295
arable,ਕਿਰਸਾਨੀ,12,20
archaeological,ਪੁਰਾਤਤਵ,106,16
archeological,ਪੁਰਾਤਤਵ,8,16
arduous,ਕਠਿਨ,77,388
argumentative,ਝਗੜਾਲੂ,2,10
aristocratic,ਨਾਮਵਰ,15,204
armored,ਜਰੀਆ,15,9
armoured,ਜਰੀਆ,7,9
aromatic,ਖੁਸ਼ਬੂਦਾਰ,86,23
aroused,ਭਾਵਾਤਮਕ,49,96
arrant,ਪੱਕਾ,1,2686
arresting,ਸਨਸਨੀਖੇਜ,153,18
artistic,ਕਲਾਤਮਕ,336,314
ascetic,ਉਪਰਾਮ,18,11
ashamed,ਸ਼ਰਮਸਾਰ,522,81
asian,ਏਸ਼ੀਅਨ,1571,335
asiatic,ਏਸ਼ੀਅਨ,14,335
asinine,ਨਿਆਣਾ,2,12
asking,ਸਵਾਲੀਆ,2289,64
asleep,ਨੀਂਦਰ,421,80
asocial,ਅਸਮਾਜਿਕ,2,17
assamese,ਅਸਾਮੀ,26,57
assigned,ਆਯੁਕਤ,347,11
assistant,ਸ਼ਰੀਕ,1170,73
assured,ਨਿਯਤ,1999,42
astringent,ਕੌੜਾ,22,307
astronomical,ਖਗੋਲੀ,21,27
atheistic,ਨਿਰਾਸ਼ਾਵਾਦੀ,1,11
atmospheric,ਵਾਤਾਵਰਣੀ,107,9
atrocious,ਭਿਆਨਕ,32,4846
attached,ਭਾਵਕ,1102,10
attractive,ਹਸੀਨ,1289,111
audible,ਮਿੱਠੀ,24,329
auspicious,ਅਨੁਕੂਲ,338,2257
austere,ਉਪਰਾਮ,15,11
australian,ਆਸਟ੍ਰੇਲਿਆਈ,1249,41
austrian,ਆਸਟ੍ਰੇਲਿਆਈ,51,41
authorised,ਤਸਦੀਕ,197,385
authoritarian,ਬੇਲਗਾਮ,25,46
authoritative,ਤਸਦੀਕ,39,385
authorized,ਤਸਦੀਕ,364,385
autochthonous,ਸਥਾਨਕ,1,9008
autocratic,ਬੇਲਗਾਮ,15,46
autonomous,ਨਿੱਜੀ,181,9856
available,ਮੁਹੱਈਆ,30444,6405
avid,ਲੋਭੀ,132,29
aware,ਸੁਚੇਤ,3664,1529
awful,ਘਮਸਾਨ,706,75
axial,ਧੁਰੀ,2,17
azure,ਆਸਮਾਨੀ,34,30
bactericidal,ਕੀਟਨਾਸ਼ਕ,28,74
bald,ਗੰਜਾ,26,34
banging,ਮਹਾਨ,10,5365
bangladeshi,ਬੰਗਲਾਦੇਸ਼ੀ,112,95
banned,ਹਰਾਮ,1228,72
bare,ਬੰਜਰ,129,37
barren,ਕੱਲਰ,28,19
baseless,ਬੇਬੁਨਿਆਦ,311,1059
bashful,ਸ਼ਰਮਾਕਲ,4,129
basic,ਮੁਢਲੀ,3286,426
bearable,ਸਹਿਣਸ਼ੀਲ,26,78
beastly,ਅਣਮਨੁੱਖੀ,3,109
beatable,ਹਾਰੇ,4,134
becoming,ਸਮੁੱਚਾ,2288,415
belated,ਠਹਿਰੇ,153,86
belgian,ਬੈਲਜੀਅਨ,45,31
bellicose,ਸੰਘਰਸ਼ੀ,7,14
beneficial,ਭੋਗ,2267,342
benevolent,ਪਰਉਪਕਾਰੀ,44,42
bengali,ਬੰਗਾਲੀ,380,316
bent,ਭਰੀਆਂ,118,451
bestial,ਅਣਮਨੁੱਖੀ,2,109
better,ਵਧਾਉਣਾ,14427,583
bewitching,ਮਨਮੋਹਕ,5,110
bhutanese,ਭੂਟਾਨੀ,16,11
biased,ਪੱਖਪਾਤੀ,73,101
big,ਉਦਾਰ,15016,95
billion,ਬਿਲੀਅਨ,697,276
biologic,ਜੈਵਿਕ,11,579
biological,ਜੈਵਿਕ,303,579
bitter,ਕੌੜਾ,507,307
black,ਅਪਮਾਨਜਨਕ,7417,303
bland,ਫਿੱਕੀ,57,59
blank,ਕੋਰਾ,148,158
blanket,ਵਿਸਤਰਿਤ,142,10
blase,ਅੱਕੀ,3,19
blazing,ਜਵਾਲਾ,23,48
bleak,ਬੰਜਰ,70,37
bleary,ਧੁੰਦਲਾ,2,105
blemished,ਦਾਗੀ,1,76
blind,ਪਰਦਾ,309,242
blistering,ਰੁੱਖੀ,45,17
bloated,ਸੁੱਜਿਆ,31,9
bloodied,ਖੂਨੀ,6,104
bloodless,ਸ਼ਾਂਤਮਈ,3,530
bloodsucking,ਪਰਜੀਵੀ,3,202
blue,ਅਸਮਾਨੀ,3153,159
blueish,ਅਸਮਾਨੀ,1,159
bluish,ਅਸਮਾਨੀ,17,159
blunt,ਬੇਝਿਜਕ,53,28
blurred,ਧੁੰਦਲਾ,50,105
blurry,ਧੁੰਦਲਾ,35,105
bodied,ਦੇਹਧਾਰੀ,3,26
bodily,ਜਿਸਮਾਨੀ,135,77
boiled,ਉਬਲਿਆ,454,23
bonded,ਬੰਧਨ,56,437
bonnie,ਸੁਦਰਸ਼ਨ,21,22
bonny,ਸੁਦਰਸ਼ਨ,1,22
booming,ਵਿਕਾਸਸ਼ੀਲ,70,90
bored,ਅੱਕੀ,442,19
boring,ਅਕਾਊ,504,9
born,ਜਨਮਜਾਤ,2843,11
bottom,ਤਲ,765,424
boundless,ਬੇਹੱਦ,34,7883
bowed,ਭਰੀਆਂ,52,451
brainy,ਧੀਮਾਨ,6,54
brave,ਬਹਾਦੁਰ,683,195
bridal,ਵਿਵਾਹਿਕ,31,37
bright,ਹੋਣਹਾਰ,3297,370
brilliant,ਧੀਮਾਨ,1032,54
british,ਬ੍ਰਿਟਿਸ਼,1892,457
broad,ਵਿਸਤਰਿਤ,445,10
broadband,ਬ੍ਰਾਡਬੈਂਡ,135,24
broken,ਬਰੀਕ,965,132
brute,ਕਸਾਈ,27,13
brutish,ਅਣਮਨੁੱਖੀ,2,109
buddhist,ਬੋਧੀ,78,100
budgetary,ਬਜਟੀ,95,24
bully,ਡਰਾਉਣਾ,38,1634
bum,ਵਿਹਲੜ,10,9
bungling,ਨਿਕੰਮਾ,4,123
burned,ਸੜਿਆ,239,10
burning,ਦਾਹ,999,14
burnt,ਸੜਿਆ,394,10
busy,ਲੱਗਣਾ,1221,170
butch,ਮਰਦਾਨਾ,3,44
byzantine,ਪੇਚੀਦਾ,16,125
c,100,2665,7906
calculable,ਗਿਣਤੀ,1,22079
called,ਕੱਚਾ,9240,519
calm,ਬੁਝਾਉਣਾ,1747,14
canadian,ਕਨੇਡੀਅਨ,843,17
cancelled,ਰੱਦ,1309,7880
candid,ਬੇਝਿਜਕ,86,28
capable,ਸਮਰੱਥ,1250,1702
capital,ਧੰਨ,4152,398
capitalist,ਪੂੰਜੀਵਾਦੀ,30,28
capricious,ਮਨਮਾਨੀ,48,75
captivated,ਆਕਰਸ਼ਿਤ,27,135
captivating,ਮਨਮੋਹਕ,56,110
captive,ਹਵਾਲਾਤੀ,43,117
cardinal,ਮੂਲ,36,4115
carefree,ਆਜਾਦ,52,70
careful,ਕਿਫ਼ਾਇਤੀ,4400,23
careless,ਫੱਕਰ,116,17
caring,ਪ੍ਰੇਮੀ,647,1479
carnivorous,ਮਾਸਾਹਾਰੀ,7,69
castrated,ਖੱਸੀ,8,23
catastrophic,ਅਕ੍ਰਿਤਘਣ,69,811
catching,ਸੰਚਾਰੀ,150,21
catholic,ਕੈਥੋਲਿਕ,136,180
causative,ਕਾਰਕ,50,4130
caustic,ਰੁੱਖੀ,12,17
cc,200,33,3931
ccc,300,6,2586
cd,400,54,1900
celestial,ਅਜੀਬ,24,4437
centered,ਕੇਂਦਰਤ,55,511
central,ਮੂਲ,7740,4115
centralised,ਕੇਂਦਰਤ,14,511
centralized,ਕੇਂਦਰਤ,43,511
centred,100,31,7906
cerebral,ਮਾਨਸਿਕ,78,4190
ceremonial,ਧਾਰਮਿਕ,64,3409
changeable,ਬਦਲਣਯੋਗ,41,19
changed,ਬਦਲਾਵ,6717,723
changeless,ਸਥਿਰ,2,1803
charged,ਭਰਪੂਰ,1343,5225
charmed,ਆਕਰਸ਼ਿਤ,29,135
charming,ਜਾਦੂਈ,476,282
cheap,ਨੀਚ,1930,45
cheating,ਕਾਮੁਕ,487,31
cheerful,ਹੱਸਮੁੱਖ,375,95
cheesy,ਨੀਚ,47,45
chemical,ਰਸਾਇਣਕ,1161,1022
chinese,ਚਾਈਨੀਜ਼,3302,26
choice,ਵਿਕਲਪ,5681,10517
choked,ਰੁਕਣ,45,876
choleric,ਗਰਮ,3,8734
choppy,ਮਨਮੌਜੀ,8,9
christian,ਈਸਾਈ,382,293
chronic,ਚਿਰਕਾਲੀਨ,866,11
ci,101,9,216
circular,ਗੋਲ,185,1476
circumscribed,ਕੱਚਾ,3,519
civic,ਸਹਿਰੀ,266,20
civil,ਦੀਵਾਨੀ,4508,40
civilised,ਨੇਕ,36,515
civilized,ਨੇਕ,43,515
cl,150,1,2187
classical,ਅਧਿਕਾਰਿਕ,736,238
classless,ਕਮਿਊਨਿਸਟ,5,456
clean,ਕੱਢਣਾ,7911,418
clear,ਛੱਡਣਾ,6528,687
cleared,ਬਰੀ,473,929
clever,ਸਿਆਣਾ,306,333
cloaked,ਲਪੇਟਿਆ,2,70
clogged,ਰੁਕਣ,42,876
clogging,ਅਟਕ,20,73
close,ਨਿਪਟਣਾ,5056,16
clothed,ਲਪੇਟਿਆ,8,70
cloudy,ਗੰਧਲਾ,161,26
clumsy,ਨਿਕੰਮਾ,55,123
coarse,ਮਿਲਾਵਟੀ,47,74
coastal,ਤੱਟੀ,228,144
cogent,ਥਿਰ,5,20
coherent,ਤਰਕਸੰਗਤ,29,135
cold,ਸਰਦੀ,5051,1596
collected,ਸੰਗਠਿਤ,1111,548
colonised,ਗੁਲਜ਼ਾਰ,1,111
colonized,ਗੁਲਜ਼ਾਰ,2,111
colored,ਪੱਖਪਾਤੀ,442,101
colorful,ਰੰਗੇ,502,272
coloured,ਸ਼ਾਮ,156,2412
combative,ਸੰਘਰਸ਼ੀ,4,14
combined,ਮਿਲਿਆ,1274,5120
comely,ਸੁਦਰਸ਼ਨ,5,22
comfortless,ਬੇਅਰਾਮ,3,22
comic,ਕਮੇਡੀ,120,35
comical,ਕਮੇਡੀ,21,35
coming,ਭਾਵੀ,7368,27
commemorating,ਯਾਦਗਾਰੀ,45,734
commemorative,ਯਾਦਗਾਰੀ,105,734
commendable,ਸਲਾਹੁਣਯੋਗ,216,55
commissioned,ਨਿਯੁਕਤ,89,2480
committed,ਭਾਵਕ,3237,10
common,ਮਿਲਾਵਟੀ,11446,74
communicable,ਸੰਚਾਰੀ,25,21
communist,ਕਮਿਊਨਿਸਟ,408,456
communistic,ਕਮਿਊਨਿਸਟ,1,456
compact,ਖੁਲਾਸਾ,403,2329
complaisant,ਦਿਆਲੂ,6,973
complementary,ਸੰਪੂਰਕ,148,84
complete,ਚੁਕਣਾ,5892,27
completing,ਸੰਪੂਰਕ,704,84
complicated,ਔਖੇ,2268,356
complimentary,ਮੁਕਤ,2189,1456
compulsory,ਜ਼ਰੂਰੀ,263,9035
computerised,ਕੰਪਿਊਟਰੀਕਰਨ,22,21
computerized,ਕੰਪਿਊਟਰੀਕਰਨ,42,21
concealed,ਡੁੱਬਦਾ,54,10
conceited,ਘਮੰਡੀ,5,180
concentrated,ਸੁੰਦਰ,204,15583
concerted,ਵਿਚਾਲੇ,132,6828
congenial,ਮੁਤਾਬਿਕ,53,2147
conjunct,ਵਿਚਾਲੇ,1,6828
conjunctive,ਵਿਚਾਲੇ,1,6828
connected,ਸਬੰਧੀ,1954,24966
connecting,ਸੰਯੋਜਕ,468,22
conscious,ਚੇਤਨ,513,95
consecrate,ਮੰਨਣਾ,7,2525
consecrated,ਸ਼ੁੱਧ,21,334
consecutive,ਲੜੀਵਾਰ,774,203
considered,ਵਿਚਾਰਿਆ,5877,427
consistent,ਤਰਕਸੰਗਤ,553,135
constant,ਬੇਰੋਕ,1511,86
constituted,ਗਠਿਤ,1080,615
constitutional,ਵਿਧਾਨਿਕ,774,55
constrained,ਜਾਲੀ,37,77
consummate,ਪੱਕਾ,5,2686
contagious,ਸੰਚਾਰੀ,236,21
contaminated,ਗੰਧਲਾ,207,26
contemporaneous,ਹਾਣੀ,2,82
contemporary,ਹਾਣੀ,569,82
content,ਸੰਤੋਖੀ,3613,10
contented,ਸੰਤੋਖੀ,64,10
contracted,ਇਕੱਠਾ,142,1399
contrary,ਢੀਠ,617,188
controlled,ਕਾਬੂ,617,8400
convenient,ਆਸਾਨ,2540,14816
convinced,ਕਾਇਲ,675,44
convoluted,ਪੇਚੀਦਾ,31,125
cooked,ਬਣਿਆ,543,3886
cool,ਠੰਡਕ,4961,38
cooperative,ਸਹਿਕਾਰੀ,427,602
copious,ਕਾਫੀ,27,22971
cordial,ਦਿਲੀ,188,234
corporal,ਦੇਹਧਾਰੀ,14,26
corporate,ਦੇਹਧਾਰੀ,716,26
corpulent,ਬੇਡੌਲ,1,22
correct,ਸ਼ੁੱਧ,4433,334
corrupt,ਖਵਾਉਣਾ,207,12
corrupted,ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ,18,13
corruptible,ਭ੍ਰਿਸ਼ਟ,1,159
cosmetic,ਸਜਾਵਟੀ,394,781
costless,ਮੁਕਤ,2,1456
costly,ਕੀਮਤੀ,535,2108
cosy,ਅਰਾਮਦੇਹ,452,457
countless,ਬੇਅੰਤ,303,750
courageous,ਬਹਾਦੁਰ,194,195
covetous,ਲੋਭੀ,2,29
cowardly,ਗਿੱਦੜ,65,33
cozy,ਅਰਾਮਦੇਹ,1048,457
cracking,ਭੰਗ,80,997
cranky,ਜਿੱਦੀ,43,10
craved,ਅਭਿਲਾਸ਼ਾ,13,14
crazy,ਬੋਲਾ,937,19
creative,ਰਚਨਾਤਮਕ,2039,2046
creditable,ਕਲਿਆਣਕਾਰੀ,4,49
criminal,ਅਪਰਾਧਿਕ,2168,880
crimson,ਕਸਾਈ,17,13
crisp,ਖਸਤਾ,102,143
crispy,ਖਸਤਾ,38,143
critical,ਨੁਕਤਾਚੀਨੀ,2542,258
crude,ਗੰਧਲਾ,580,26
crummy,ਨੀਚ,4,45
crystalline,ਪਾਰਦਰਸ਼ੀ,7,304
cultivable,ਕਿਰਸਾਨੀ,11,20
cultivated,ਨੇਕ,97,515
cultural,ਸੰਸਕ੍ਰਿਤਕ,3523,21
cultured,ਨੇਕ,30,515
curable,ਉਪਚਾਰ,41,410
curious,ਉਤਸਕ,1352,21
custodial,ਵਾਰਡਨ,71,18
cyclic,ਚੱਕਰੀ,11,10
cyclical,ਚੱਕਰੀ,19,10
daily,ਦਿਨ-ਬਦਿਨ,7090,14
damaged,ਨੁਕਸਾਨੀ,2513,368
dandy,ਬਾਂਕਾ,23,10
dangerous,ਨਾਜੁਕ,3918,118
danish,ਡੈਨਿਸ਼,191,35
dapper,ਰੰਗੀਲਾ,34,21
dark,ਅਗਿਆਨਤਾ,1914,139
dashing,ਰੰਗੀਲਾ,26,21
dazzling,ਚਕਾਚੌਂਧ,51,9
dead,ਮੁਰਦਾ,7689,181
deadly,ਜ਼ਹਿਰੀਲਾ,747,78
deaf,ਬੋਲਾ,56,19
dear,ਕੀਮਤੀ,684,2108
debased,ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ,3,13
deceitful,ਦੋਗਲਾ,22,13
decent,ਸਿੱਧਾ,609,2409
decisive,ਨਿਰਣਾਇਕ,195,233
declared,ਤਸਦੀਕ,3172,385
decorative,ਸਜਾਵਟੀ,578,781
decorous,ਸਮੁੱਚਾ,3,415
decreasing,ਘਟਣਾ,169,195
decrepit,ਨਿਰਬਲ,1,21
dedicated,ਅਰਪਿਤ,1113,57
deep,ਸੂਖਮਤਾ,2103,24
defeated,ਹਾਰੇ,1026,134
defective,ਮੈਲਾ,32,34
defensive,ਰੱਖਿਆਤਮਕ,96,76
defiant,ਬਾਗ਼ੀ,33,70
deficient,ਨਾਕਾਫੀ,56,75
definite,ਪੱਕਾ,262,2686
definitive,ਅਧਿਕਾਰਿਕ,152,238
defunct,ਮ੍ਰਿਤ,37,146
degenerate,ਪਖੰਡੀ,7,24
degraded,ਪਖੰਡੀ,7,24
dejected,ਉਦਾਸ,50,2240
delectable,ਮਜ਼ੇਦਾਰ,28,491
delicate,ਸੂਖ਼ਮ,420,57
delicious,ਮਜ਼ੇਦਾਰ,2602,491
delighted,ਗਦਗਦ,614,34
delightful,ਅਨੰਦਦਾਇਕ,356,101
demented,ਬੋਲਾ,11,19
democratic,ਲੋਕਤੰਤਰਿਕ,1180,123
demolished,ਢੱਠੇ,111,9
demonstrated,ਪ੍ਰਦਰਸ਼ਿਤ,227,119
dense,ਜੁੜਵਾਂ,382,130
departmental,ਵਿਭਾਗੀ,191,405
dependant,ਨਿਰਭਰ,18,9663
dependent,ਗੁਲਾਮ,498,429
depressed,ਪੀੜਤ,384,5827
deprived,ਮਹਿਰੂਮ,255,41
derelict,ਖਸਤਾ,5,143
descriptive,ਟੀਕਾ,30,1618
deserving,ਵਿਸ਼ੇਸ਼,115,6944
desired,ਅਭਿਲਾਸ਼ਾ,1287,14
desirous,ਲੋਭ,30,42
desolate,ਬੰਜਰ,25,37
despairing,ਨਾਉਮੀਦ,3,96
desperate,ਨਾਉਮੀਦ,317,96
despondent,ਨਾਉਮੀਦ,14,96
despotic,ਬੇਲਗਾਮ,6,46
destitute,ਸੱਖਣਾ,16,16
destroyed,ਖਤਮ,1510,7193
detached,ਅਲਗ,37,169
detailed,ਵਿਸਤਰਿਤ,1890,10
developed,ਉੱਨਤ,2440,133
developmental,ਵਿਕਸਿਤ,168,1721
devoid,ਸੱਖਣਾ,50,16
devoted,ਪਰਮ,395,767
devouring,ਲੋਭੀ,4,29
devout,ਅਨੁਯਾਈ,51,15
diabetic,ਸ਼ੂਗਰ,180,1051
diametric,ਖੱਬੇ-ਪੱਖੀ,2,11
diametrical,ਖੱਬੇ-ਪੱਖੀ,1,11
dictatorial,ਬੇਲਗਾਮ,54,46
different,ਬੇਮੇਲ,29550,13
difficult,ਅਪਾਰ,11398,95
digested,ਹਜ਼ਮ,45,171
digestible,ਨਰਮ,36,3030
dilapidated,ਖਸਤਾ,40,143
dim,ਅਪ੍ਰਤੱਖ,37,33
dire,ਘਮਸਾਨ,287,75
direct,ਸਿੱਧਾ,2192,2409
direful,ਘਮਸਾਨ,1,75
dirty,ਗੰਦਾ,367,191
disabled,ਅੰਗਹੀਣ,229,46
disadvantaged,ਮਹਿਰੂਮ,42,41
disagreeable,ਅਸਹਿਮਤ,6,235
disapproved,ਅਸਹਿਮਤ,13,235
discernible,ਦਰਸ਼ਨੀ,10,18
disciplined,ਨੇਮੀ,63,51
discordant,ਬੇਮੇਲ,1,13
disenchanted,ਤਿਆਗੀ,13,125
disgraceful,ਅਪਮਾਨਜਨਕ,37,303
disgruntled,ਬੇਸਬਰਾ,22,142
disgusting,ਈਰਖਾਲੂ,182,25
disheveled,ਅੱਡੋ-ਅੱਡ,4,24
dishonest,ਭ੍ਰਿਸ਼ਟ,58,159
disinfectant,ਕੀਟਨਾਸ਼ਕ,36,74
disinterested,ਨਿਰਸਵਾਰਥ,12,54
dismantled,ਢੱਠੇ,20,9
dismayed,ਸੁੰਨ,73,199
disobedient,ਅਣਆਗਿਆਕਾਰੀ,10,10
disorganized,ਅਨਿਯਮਿਤ,5,52
dispirited,ਪੀੜਤ,2,5827
displeased,ਗੁੱਸੇ,26,1570
disputed,ਵਿਵਾਦਤ,203,348
disquieted,ਪੀੜਤ,1,5827
disruptive,ਸੰਕਟਗ੍ਰਸਤ,41,18
dissatisfied,ਬੇਸਬਰਾ,91,142
dissenting,ਅਸਹਿਮਤ,8,235
dissident,ਵਿਰੋਧੀ,17,7649
dissimilar,ਬੇਮੇਲ,17,13
dissipated,ਪਖੰਡੀ,21,24
distant,ਦੂਰ,226,9792
distasteful,ਈਰਖਾਲੂ,18,25
distended,ਸੁੱਜਿਆ,1,9
distinguished,ਉੱਤਮ,508,677
distracted,ਚੰਚਲ,132,83
distressed,ਪੀੜਤ,148,5827
distressful,ਸੋਚਣਯੋਗ,2,9
distressing,ਸੋਚਣਯੋਗ,109,9
disturbed,ਬੋਲਾ,312,19
disturbing,ਸੋਚਣਯੋਗ,273,9
diverting,ਆਨੰਦਮਈ,42,65
divided,ਅਲੱਗ,2961,2722
divine,ਦੇਵ,273,3485
documentary,ਫ਼ਿਲਮ,206,7542
domestic,ਦੇਸੀ,1859,518
domesticated,ਘਰੇਲੂ,24,4291
dominating,ਭਾਰੂ,27,88
done,ਅੰਤ,21911,10405
doomed,ਚੰਦਰਾ,60,138
double,ਦੁਗਣਾ,1370,45
doubled,ਦੁੱਗਣਾ,94,117
doubtful,ਸ਼ੱਕੀ,96,1387
downcast,ਪੀੜਤ,4,5827
downhearted,ਪੀੜਤ,2,5827
downtrodden,ਦਲਿਤ,44,907
dozen,12,463,5380
drab,ਲਾਈਟ,7,532
dramatic,ਨਾਟਕੀ,246,220
draped,ਲਪੇਟਿਆ,12,70
dread,ਸੰਦੇਹ,68,80
dreaded,ਘਮਸਾਨ,85,75
dreadful,ਘਮਸਾਨ,90,75
drenched,ਲੱਥਪੱਥ,17,31
dry,ਸੁੱਕਣਾ,4221,63
dual,ਦੋਹਰੀ,329,137
dubious,ਸ਼ੱਕੀ,71,1387
due,ਬਾਕੀ,14265,13520
dull,ਅਕਾਊ,199,9
dumb,ਗੂੰਗਾ,154,13
duplicate,ਸਮਰੂਪ,24,76
duplicitous,ਦੋਗਲਾ,2,13
durable,ਪਾਏਦਾਰ,389,18
dutch,ਡੱਚ,107,52
earned,ਕਮਾਇਆ,606,117
earthly,ਸੰਸਾਰਿਕ,27,59
earthy,ਭੂਮੀ,10,699
eastern,ਪੂਰਬੀ,1055,2356
easy,ਧੀਮਾ,21424,12
easygoing,ਮਸਤੀਖੋਰ,11,245
eatable,ਖਾਣਪੀਣ,6,22
economic,ਅਰਥਸ਼ਾਸਤਰੀ,3118,42
economical,ਅਰਥਸ਼ਾਸਤਰੀ,245,42
ecstatic,ਗਦਗਦ,77,34
edible,ਖਾਣਪੀਣ,179,22
edited,ਸੰਪਾਦਤ,68,13
editorial,ਸੰਪਾਦਕੀ,76,136
educated,ਸਿੱਖਿਅਤ,413,183
educational,ਸਿੱਖਿਆਦਾਇਕ,2134,44
effective,ਪ੍ਰਭਾਵੀ,4382,1519
egalitarian,ਕਮਿਊਨਿਸਟ,19,456
egotistic,ਘਮੰਡੀ,1,180
egotistical,ਘਮੰਡੀ,2,180
egyptian,ਮਿਸਰੀ,74,53
eight,8,2076,4627
eighteen,18,37,2777
eighteenth,18,17,2777
eighth,8,222,4627
eighty,80,43,2533
elaborate,ਸਮਝਾਉਣਾ,753,97
elaborated,ਵਿਸਤਰਿਤ,59,10
elated,ਖੁਸ਼,101,4379
elder,ਜੇਠਾ,389,28
elderly,ਸਿਆਣੇ,658,275
eldest,ਪਲੇਠਾ,178,16
electoral,ਚੋਣਾਵੀ,731,50
electrical,ਇਲੈਕਟ੍ਰੋਨਿਕ,870,216
electrifying,ਰੋਮਾਂਚਿਕ,10,73
elegant,ਸਹਿਜ,709,658
