English,Punjabi,English_Word_Count,Punjabi_Word_Count,is_noun
contemporary,ਹਾਣੀ,569,82,False
contented,ਸੰਤੋਖੀ,64,10,False
contracted,ਇਕੱਠਾ,142,1399,False
contrary,ਢੀਠ,617,188,False
controlled,ਕਾਬੂ,617,8400,False
convinced,ਕਾਇਲ,675,44,False
convoluted,ਪੇਚੀਦਾ,31,125,False
cooked,ਬਣਿਆ,543,3886,False
copious,ਕਾਫੀ,27,22971,False
corporal,ਦੇਹਧਾਰੀ,14,26,False
corporate,ਦੇਹਧਾਰੀ,716,26,False
corrupted,ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ,18,13,False
cosmetic,ਸਜਾਵਟੀ,394,781,False
costly,ਕੀਮਤੀ,535,2108,False
courageous,ਬਹਾਦੁਰ,194,195,False
cowardly,ਗਿੱਦੜ,65,33,False
cracking,ਭੰਗ,80,997,False
craved,ਅਭਿਲਾਸ਼ਾ,13,14,False
creative,ਰਚਨਾਤਮਕ,2039,2046,False
criminal,ਅਪਰਾਧਿਕ,2168,880,False
critical,ਨੁਕਤਾਚੀਨੀ,2542,258,False
cultivable,ਕਿਰਸਾਨੀ,11,20,False
cultivated,ਨੇਕ,97,515,False
cultural,ਸੰਸਕ੍ਰਿਤਕ,3523,21,False
cultured,ਨੇਕ,30,515,False
curable,ਉਪਚਾਰ,41,410,False
curious,ਉਤਸਕ,1352,21,False
cyclical,ਚੱਕਰੀ,19,10,False
daily,ਦਿਨ-ਬਦਿਨ,7090,14,False
damaged,ਨੁਕਸਾਨੀ,2513,368,False
dangerous,ਨਾਜੁਕ,3918,118,False
dashing,ਰੰਗੀਲਾ,26,21,False
dazzling,ਚਕਾਚੌਂਧ,51,9,False
dead,ਮੁਰਦਾ,7689,181,False
deadly,ਜ਼ਹਿਰੀਲਾ,747,78,False
declared,ਤਸਦੀਕ,3172,385,False
decreasing,ਘਟਣਾ,169,195,False
dedicated,ਅਰਪਿਤ,1113,57,False
defeated,ਹਾਰੇ,1026,134,False
defective,ਮੈਲਾ,32,34,False
definitive,ਅਧਿਕਾਰਿਕ,152,238,False
dejected,ਉਦਾਸ,50,2240,False
delectable,ਮਜ਼ੇਦਾਰ,28,491,False
delicious,ਮਜ਼ੇਦਾਰ,2602,491,False
delighted,ਗਦਗਦ,614,34,False
demented,ਬੋਲਾ,11,19,False
democratic,ਲੋਕਤੰਤਰਿਕ,1180,123,False
demolished,ਢੱਠੇ,111,9,False
demonstrated,ਪ੍ਰਦਰਸ਼ਿਤ,227,119,False
depressed,ਪੀੜਤ,384,5827,False
deprived,ਮਹਿਰੂਮ,255,41,False
deserving,ਵਿਸ਼ੇਸ਼,115,6944,False
desired,ਅਭਿਲਾਸ਼ਾ,1287,14,False
desirous,ਲੋਭ,30,42,False
detached,ਅਲਗ,37,169,False
detailed,ਵਿਸਤਰਿਤ,1890,10,False
devoted,ਪਰਮ,395,767,False
diabetic,ਸ਼ੂਗਰ,180,1051,False
different,ਬੇਮੇਲ,29550,13,False
difficult,ਅਪਾਰ,11398,95,False
digested,ਹਜ਼ਮ,45,171,False
digestible,ਨਰਮ,36,3030,False
dilapidated,ਖਸਤਾ,40,143,False
direct,ਸਿੱਧਾ,2192,2409,False
disabled,ਅੰਗਹੀਣ,229,46,False
disadvantaged,ਮਹਿਰੂਮ,42,41,False
disapproved,ਅਸਹਿਮਤ,13,235,False
discernible,ਦਰਸ਼ਨੀ,10,18,False
disciplined,ਨੇਮੀ,63,51,False
disenchanted,ਤਿਆਗੀ,13,125,False
disgruntled,ਬੇਸਬਰਾ,22,142,False
disgusting,ਈਰਖਾਲੂ,182,25,False
disinterested,ਨਿਰਸਵਾਰਥ,12,54,False
dismantled,ਢੱਠੇ,20,9,False
displeased,ਗੁੱਸੇ,26,1570,False
disputed,ਵਿਵਾਦਤ,203,348,False
dissatisfied,ਬੇਸਬਰਾ,91,142,False
dissenting,ਅਸਹਿਮਤ,8,235,False
dissipated,ਪਖੰਡੀ,21,24,False
distinguished,ਉੱਤਮ,508,677,False
distracted,ਚੰਚਲ,132,83,False
distressed,ਪੀੜਤ,148,5827,False
distressing,ਸੋਚਣਯੋਗ,109,9,False
disturbing,ਸੋਚਣਯੋਗ,273,9,False
diverting,ਆਨੰਦਮਈ,42,65,False
divided,ਅਲੱਗ,2961,2722,False
domestic,ਦੇਸੀ,1859,518,False
domesticated,ਘਰੇਲੂ,24,4291,False
dominating,ਭਾਰੂ,27,88,False
done,ਅੰਤ,21911,10405,False
doomed,ਚੰਦਰਾ,60,138,False
double,ਦੁਗਣਾ,1370,45,False
doubled,ਦੁੱਗਣਾ,94,117,False
dramatic,ਨਾਟਕੀ,246,220,False
dreaded,ਘਮਸਾਨ,85,75,False
drenched,ਲੱਥਪੱਥ,17,31,False
dual,ਦੋਹਰੀ,329,137,False
dubious,ਸ਼ੱਕੀ,71,1387,False
due,ਬਾਕੀ,14265,13520,False
durable,ਪਾਏਦਾਰ,389,18,False
earned,ਕਮਾਇਆ,606,117,False
earthly,ਸੰਸਾਰਿਕ,27,59,False
eastern,ਪੂਰਬੀ,1055,2356,False
easy,ਧੀਮਾ,21424,12,False
easygoing,ਮਸਤੀਖੋਰ,11,245,False
economic,ਅਰਥਸ਼ਾਸਤਰੀ,3118,42,False
economical,ਅਰਥਸ਼ਾਸਤਰੀ,245,42,False
ecstatic,ਗਦਗਦ,77,34,False
edible,ਖਾਣਪੀਣ,179,22,False
edited,ਸੰਪਾਦਤ,68,13,False
educated,ਸਿੱਖਿਅਤ,413,183,False
educational,ਸਿੱਖਿਆਦਾਇਕ,2134,44,False
effective,ਪ੍ਰਭਾਵੀ,4382,1519,False
egalitarian,ਕਮਿਊਨਿਸਟ,19,456,False
egyptian,ਮਿਸਰੀ,74,53,False
elaborated,ਵਿਸਤਰਿਤ,59,10,False
elated,ਖੁਸ਼,101,4379,False
elderly,ਸਿਆਣੇ,658,275,False
electoral,ਚੋਣਾਵੀ,731,50,False
electrical,ਇਲੈਕਟ੍ਰੋਨਿਕ,870,216,False
electrifying,ਰੋਮਾਂਚਿਕ,10,73,False
elusive,ਮੁਸ਼ਕਿਲ,73,1832,False
embarrassed,ਜਲੀਲ,315,33,False
embodied,ਦੇਹਧਾਰੀ,49,26,False
emotional,ਭਾਵਾਤਮਕ,1161,96,False
emphatic,ਜਬਰਦਸਤ,59,196,False
empty,ਸੱਖਣਾ,976,16,False
enchanting,ਮਨਮੋਹਕ,60,110,False
encompassing,ਵਿਸਤਰਿਤ,39,10,False
encouraged,ਉਤਸ਼ਾਹਿਤ,745,2124,False
encouraging,ਉਤਸ਼ਾਹਪੂਰਵਕ,369,22,False
endemic,ਸਥਾਨਕ,33,9008,False
endorsed,ਸਮਰਥਿਤ,83,89,False
engaged,ਜੁਟਿਆ,1433,70,False
english,ਇੰਗਲਿਸ਼,4484,171,False
engrossed,ਲੁਪਤ,30,40,False
enlightened,ਸੁਰੱਖਿਅਤ,35,10522,False
entangled,ਉਲਝਿਆ,21,32,False
enthralling,ਮਨਮੋਹਕ,34,110,False
entire,ਭਰਪੂਰ,6941,5225,False
entrepreneurial,ਮਿਹਨਤੀ,61,692,False
enveloped,ਪ੍ਰਭਾਵਿਤ,31,7495,False
envious,ਈਰਖਾਲੂ,56,25,False
equal,ਪਾਉਣਾ,2949,1300,False
equipped,ਲੈਸ,3418,6636,False
erotic,ਰੰਗੀਨ,40,571,False
escaped,ਭਗੋੜੇ,574,11,False
established,ਗਠਿਤ,1462,615,False
eternal,ਅਨਾਦਿ,344,51,False
ethical,ਸਾਰਥਕ,107,242,False
ethiopian,ਇਥੋਪੀਅਨ,43,13,False
ethnic,ਕਾਫ਼ਰ,244,15,False
evasive,ਕਠਿਨ,9,388,False
everlasting,ਪੱਕਾ,65,2686,False
every,ਹਰੇਕ,19246,9280,False
exasperated,ਉਤੇਜਿਤ,13,69,False
exceptional,ਸਪੈਸ਼ਲ,395,653,False
excited,ਭਾਵਾਤਮਕ,2850,96,False
exciting,ਭੜਕਾਊ,2103,363,False
excused,ਮੁਆਫ਼,18,293,False
exhausting,ਥਕਾਊ,107,17,False
existing,ਮੌਜੂਦ,1085,13462,False
exonerated,ਬਰੀ,21,929,False
exotic,ਅਜੀਬੋਗਰੀਬ,203,17,False
expensive,ਮਹਿੰਗਾ,4118,3860,False
experienced,ਉਸਤਾਦ,1735,86,False
explosive,ਵਿਸਫੋਟਕ,186,267,False
exposed,ਬੇਪਰਦ,393,17,False
expressed,ਵਿਅਕਤ,4084,160,False
expressive,ਪੇਸ਼ਕਾਰੀ,144,385,False
extended,ਖੁੱਲਾ,1202,120,False
extensive,ਵਿਸਤਰਿਤ,652,10,False
external,ਬਾਹਰੀ,2435,2549,False
extra,ਅਤਿਰਿਕਤ,2419,198,False
fabricated,ਹਵਾਈ,65,8311,False
fabulous,ਪੌਰਾਣਿਕ,863,22,False
factual,ਪ੍ਰਮਾਣਿਕ,118,187,False
false,ਬਣਾਵਟੀ,1967,24,False
familial,ਖਾਨਦਾਨੀ,10,19,False
fancied,ਹਵਾਈ,20,8311,False
fanciful,ਕਲਪਤ,14,137,False
fascinating,ਮਨਮੋਹਕ,963,110,False
favored,ਲਾਡਲਾ,23,22,False
feasible,ਕਰਨਯੋਗ,193,62,False
feeble,ਨਿਰਬਲ,29,21,False
fibrous,ਰੇਸ਼ੇਦਾਰ,35,19,False
fictional,ਹਵਾਈ,95,8311,False
fictitious,ਹਵਾਈ,43,8311,False
financial,ਮਾਲੀ,4080,821,False
finnish,ਫਿਨਿਸ਼,73,9,False
first,ਪੂਰਵ,52214,349,False
fiscal,ਮਾਲੀ,241,821,False
fixed,ਲੱਗਾ,1234,4598,False
flat,ਬੇਝਿਜਕ,696,28,False
floating,ਤੈਰਦਾ,159,11,False
floral,ਫੁੱਲਦਾਰ,293,110,False
flourishing,ਵਿਕਾਸਸ਼ੀਲ,32,90,False
flowing,ਵਗਦਾ,301,130,False
focused,ਕੇਂਦਰਤ,642,511,False
following,ਪੈਰਵੀ,14356,226,False
forced,ਜਾਲੀ,1012,77,False
foreign,ਅੰਤਰਰਾਸ਼ਟਰੀ,4216,2174,False
forested,ਜੰਗਲੀ,22,934,False
forgivable,ਮਾਫੀ,9,395,False
formal,ਨਕਲੀ,551,977,False
formed,ਮੂਰਤ,3009,174,False
former,ਸਾਬਕਾ,12678,17499,False
forthcoming,ਆਗਾਮੀ,465,562,False
fourth,ਪਾਓ,2015,3464,False
free,ਕੱਢਣਾ,20362,418,False
french,ਫ੍ਰੈਂਚ,1239,340,False
fresh,ਨਿਕੰਮਾ,3319,123,False
friendly,ਦੋਸਤਾਨਾ,5787,2696,False
frightened,ਘਬਰਾਇਆ,365,279,False
frightening,ਘਮਸਾਨ,297,75,False
frozen,ਢਿੱਲਾ,222,109,False
fulfilled,ਭਰਪੂਰ,989,5225,False
full,ਖਚਾ-ਖਚ,6752,11,False
functional,ਅਸਲੀ,560,6479,False
fundamental,ਮੂਲ,811,4115,False
gathered,ਸੰਗਠਿਤ,1343,548,False
genetic,ਖਾਨਦਾਨੀ,277,19,False
geographic,ਭੂਗੋਲਿਕ,60,390,False
geographical,ਭੂਗੋਲਿਕ,268,390,False
german,ਜਰਮਨ,896,922,False
gifted,ਗੁਣਵਾਨ,142,21,False
glacial,ਢਿੱਲਾ,9,109,False
glittering,ਚਮਕਦਾ,27,113,False
glorious,ਸੁਹਾਵਣਾ,266,1626,False
godly,ਦੇਵ,14,3485,False
golden,ਸਵਰਨ,802,155,False
good,ਸੌਦਾ,54782,603,False
gorgeous,ਚਮਕੀਲਾ,1514,227,False
gothic,ਗੋਥਿਕ,80,58,False
grammatical,ਵਿਆਕਰਨਿਕ,47,13,False
grasping,ਲੋਭੀ,19,29,False
gratifying,ਸਬਰ,79,1449,False
gratuitous,ਮੁਕਤ,14,1456,False
great,ਵੱਡਾ,29920,18896,False
green,ਹਰਾ,3370,1807,False
grievous,ਭਿਆਨਕ,104,4846,False
gross,ਪੱਕਾ,275,2686,False
groundbreaking,ਨਿਵੇਕਲਾ,27,450,False
grueling,ਕਠਿਨ,35,388,False
gruelling,ਕਠਿਨ,25,388,False
guilty,ਗੁਨਾਹਗਾਰ,2163,60,False
handicapped,ਅੰਗਹੀਣ,31,46,False
happy,ਖੁਸ਼ਹਾਲ,14808,316,False
harassed,ਵਿਆਕੁਲ,181,37,False
hard,ਅਡੋਲ,11901,284,False
hardworking,ਮਿਹਨਤੀ,144,692,False
harmonious,ਮਿਲਣਸਾਰ,285,493,False
harried,ਵਿਆਕੁਲ,12,37,False
hazardous,ਸੰਕਟਮਈ,156,13,False
healthy,ਫਿਟ,10247,180,False
heartbreaking,ਦੁੱਖਦਾਈ,95,125,False
heated,ਤਪਾ,715,38,False
heavenly,ਸਵਰਗੀ,93,184,False
heavy,ਕਠਿਨ,4589,388,False
heinous,ਭਿਆਨਕ,196,4846,False
hideous,ਭਿਅੰਕਰ,37,136,False
high,ਬੁਲੰਦ,18283,533,False
hilly,ਪਰਬਤੀ,87,29,False
historical,ਇਤਿਹਾਸਕ,1500,3022,False
honorable,ਸਤਿਕਾਰਯੋਗ,93,121,False
honored,ਆਦਰਯੋਗ,352,29,False
honourable,ਸਾਰਥਕ,79,242,False
honoured,ਆਦਰਯੋਗ,1468,29,False
horrendous,ਘਮਸਾਨ,58,75,False
hot,ਘਾਤਕ,4161,1052,False
humble,ਤੁੱਛ,405,33,False
humiliated,ਜਲੀਲ,46,33,False
humongous,ਮਹਾਨ,16,5365,False
humorous,ਮਜ਼ਾਕੀਆ,59,15,False
humourous,ਮਜ਼ਾਕੀਆ,8,15,False
idealistic,ਆਦਰਸ਼ਵਾਦੀ,19,9,False
identical,ਸਮਾਨ,542,3225,False
idle,ਬੇਰੋਜਗਾਰ,88,16,False
illuminated,ਉਜਲ,52,10,False
illuminating,ਪ੍ਰਕਾਸ਼ਕ,8,32,False
imaginary,ਕਲਪਤ,51,137,False
imagined,ਕਲਪਤ,286,137,False
immeasurable,ਅਸੀਮਤ,17,68,False
immoral,ਗਲਤ,69,11604,False
impartial,ਆਜ਼ਾਦ,98,1010,False
impassable,ਅਗੰਮ,8,12,False
imperceptible,ਅਗਿਆਤ,12,101,False
imperial,ਰਾਜਸੀ,87,434,False
impervious,ਅਗਮ,11,25,False
important,ਅਮਲੀ,34400,780,False
imported,ਅਯਾਤ,169,9,False
imposing,ਆਲੀਸ਼ਾਨ,120,50,False
impossible,ਅਨਹੋਣੀ,2849,1414,False
impoverished,ਬੇਸਹਾਰਾ,24,202,False
impregnable,ਅਭੇਦ,10,47,False
impulsive,ਮਨਮਾਨੀ,29,75,False
inactive,ਵਿਰਾਮ,44,86,False
incapable,ਅਯੋਗ,63,336,False
inclined,ਭਰੀਆਂ,170,451,False
inconsequential,ਬੇਕਾਰ,29,1443,False
incorporated,ਸ਼ਾਮਿਲ,187,2844,False
increasing,ਵੱਧਦਾ,4492,1033,False
independent,ਪ੍ਰਧਾਨ,1471,47037,False
indestructible,ਪੱਕਾ,9,2686,False
indian,ਹਿੰਦੋਸਤਾਨੀ,27588,15,False
indicative,ਵਾਹਕ,79,36,False
indigenous,ਸਥਾਨਕ,234,9008,False
indivisible,ਅਟੁੱਟ,14,510,False
indonesian,ਇੰਡੋਨੇਸ਼ੀਆਈ,140,21,False
industrial,ਉਦਯੋਗਿਕ,1373,1434,False
industrialized,ਉਦਯੋਗਿਕ,12,1434,False
industrious,ਮਿਹਨਤੀ,19,692,False
ineligible,ਅਯੋਗ,38,336,False
inevitable,ਅਮਿੱਟ,226,36,False
inexpensive,ਸਸਤਾ,655,2252,False
inexperienced,ਅਨਾੜੀ,59,26,False
infamous,ਬਦਨਾਮ,52,411,False
infected,ਸੰਕ੍ਰਮਿਤ,1338,337,False
inherited,ਖਾਨਦਾਨੀ,79,19,False
inimical,ਅਣਜਾਣ,9,844,False
innovative,ਨਿਵੇਕਲਾ,338,450,False
innumerable,ਬੇਅੰਤ,34,750,False
inspirational,ਪ੍ਰੇਰਣਾਦਾਇਕ,96,110,False
inspiring,ਪ੍ਰੇਰਕ,316,289,False
instinctive,ਸੁਭਾਵਿਕ,15,258,False
institutional,ਸੰਸਥਾਗਤ,148,237,False
integrated,ਮਿਸ਼ਰਤ,408,34,False
intellectual,ਧੀਮਾਨ,221,54,False
interesting,ਦਿਲਚਸਪ,10133,15244,False
interfering,ਵਿਰੋਧੀ,59,7649,False
internal,ਅੰਤਰੰਗ,2079,29,False
international,ਇੰਟਰਨੈਸ਼ਨਲ,7412,737,False
intolerable,ਅਸਹਿਣਯੋਗ,48,20,False
invaluable,ਬਹੁਮੁੱਲੇ,124,15,False
invented,ਹਵਾਈ,106,8311,False
invincible,ਅਜਿੱਤ,35,21,False
invisible,ਲੁਪਤ,135,40,False
involved,ਪੇਚੀਦਾ,4267,125,False
iranian,ਈਰਾਨੀ,265,216,False
irritable,ਜਿੱਦੀ,82,10,False
irritating,ਕਸ਼ਟਦਾਈ,83,225,False
islamic,ਇਸਲਾਮਿਕ,852,780,False
israeli,ਇਸਰਾਇਲੀ,285,12,False
italian,ਇਟਾਲੀਅਨ,635,169,False
japanese,ਜਪਾਨੀ,698,258,False
jealous,ਈਰਖਾਲੂ,175,25,False
jolly,ਰੰਗੀਲਾ,107,21,False
joyous,ਅਨੰਦਮਈ,142,183,False
kidnapped,ਕਿਡਨੈਪ,207,12,False
knowing,ਸੁਰੱਖਿਅਤ,545,10522,False
knowledgeable,ਸੁਰੱਖਿਅਤ,371,10522,False
known,ਸਮਝ,6766,11302,False
laborious,ਕਠਿਨ,98,388,False
lacking,ਅਸੰਭਵ,171,3356,False
large,ਉਦਾਰ,15251,95,False
last,ਰਹਿਣਾ,12054,4794,False
lasting,ਪਾਏਦਾਰ,171,18,False
late,ਚਿਰ,3296,3189,False
latest,ਚਾਲੂ,2137,1300,False
laudable,ਸਲਾਹੁਣਯੋਗ,39,55,False
laughable,ਕਮੇਡੀ,26,35,False
leading,ਰਹਿਨੁਮਾਈ,2233,47,False
learned,ਸੁਰੱਖਿਅਤ,1484,10522,False
